sex,cp,fbs,restecg,exng,slp,age,trtbps,chol,thalachh,oldpeak,caa,thall,output
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6091189014278038,0.0,-0.9370299353792682,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.525438861450066,0.0,0.0,-0.6676817953792682,0.0,1
0.0,2.0,0.0,1.0,0.0,0.0,-2.953678072221806,0.0,0.0,0.0,0.0,0.0,0.0,1
-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636948753792681,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6091189014278038,0.0,-0.9370299353792682,0.0,1
-1.0,2.0,0.0,1.0,0.0,0.0,-2.8893940622218057,0.0,0.0,0.0,0.0,2.497124864620732,0.0,1
-1.0,2.0,0.0,0.0,0.0,0.0,-2.8893940622218057,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,2.0,0.0,0.0,0.0,1.0,-1.034607872221806,-3.007844789003446,0.0,1.2853759014278037,0.0,0.0,0.0,1
-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9249395853792683,0.0,1
0.0,2.0,0.0,0.0,0.0,0.0,-2.118250972221806,0.0,-2.658708771450066,0.0,0.0,0.0,1.7022288186336334,1
0.0,3.0,0.0,0.0,0.0,1.0,1.6329309677781938,0.0,0.0,0.0,0.0,0.10009658462073173,0.0,1
0.0,3.0,0.0,0.0,0.0,1.0,-2.474541602221806,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,3.0,0.0,0.0,0.0,0.0,-0.783057282221806,0.0,0.0,2.927479101427804,0.0,2.3325148546207317,0.0,1
-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636948753792681,-0.09563866136636667,1
0.0,3.0,0.0,0.0,0.0,0.0,-1.843863812221806,-1.9455121890034461,0.0,0.0,0.0,0.0,0.0,1
-1.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.7933917890034463,0.0,0.0,0.0,0.0,0.0,1
-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9191499553792681,0.09236961863363335,1
-1.0,2.0,0.0,0.0,0.0,0.0,1.981106577778194,0.0,1.133592698549934,0.0,0.0,0.0,0.0,1
0.0,2.0,0.0,0.0,0.0,0.0,-1.034607872221806,-3.007844789003446,0.0,1.2853759014278037,0.0,0.0,0.0,1
0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.069790161450066,0.0,0.0,0.0,0.0,1
0.0,3.0,0.0,0.0,0.0,1.0,-0.525386472221806,0.0,0.0,0.0,0.7781110827036526,0.0,0.0,1
0.0,3.0,1.0,0.0,0.0,-1.0,-2.293705442221806,0.0,0.0,0.0,0.0,0.0,0.0,1
-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002964818549934023,0.0,0.0,0.0,0.0,1
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454604008549935,3.4071783014278036,0.0,-0.6242754253792682,0.0,1
-1.0,2.0,0.0,0.0,-1.0,0.0,1.1989110877781939,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7818485414500662,0.0,0.0,-0.9073102453792683,1.6765220586336333,1
-1.0,2.0,0.0,1.0,0.0,0.0,-2.8893940622218057,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,3.0,1.0,0.0,0.0,0.0,-2.293705442221806,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.178952151450066,1.4920468014278039,0.0,-0.8974522353792682,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.897349741450066,0.7931811014278037,0.0,-0.5786294453792682,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.310556040595345,0.0,0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1460635005953446,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750288205953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4899617298541585,4.9334047048033725,0.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6876478298541586,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8003318505953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1792710605953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.961606000595345,-1.9299698132557679,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8183969705953447,0.0,0
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6619256298541587,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446750105953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7357188298541586,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768048905953448,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5019957298541586,0.0,2.907265710595345,0.0,0
0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2514877298541586,0.0,0.0,0.0,0
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401087184803372,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.085120062164526,0.0,0.0,0.0,2.9691037805953444,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9218605298541587,0.0,2.9009827905953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4657510605953448,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7382757298541587,0.0,0.0,-4.625787053255768,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301292040595345,-4.119556153255768,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0291282248033724,2.725050210595345,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14691354094145,-2.7789989298541586,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3839557621645258,0.0,0.0,0.0,2.3051878805953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002501260595345,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270776680595345,-1.2658649232557677,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3751588005953446,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5275728205953447,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3696611705953448,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2770039505953443,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2220692032557678,0
0.0,0.0,0.0,0.0,0.0,0.0,-2.3187327922218057,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9113794890034463,4.200558863655983,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8813368932557678,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.431101098746658,0.0,0.0,-2.1164978032557675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0221769890034462,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6264474890034463,0.0,0.0,0.0,0.0,-2.8046525632557677,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.998873393255768,0
0.0,0.0,0.0,0.0,0.0,0.0,-2.440200852221806,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.4075584577781939,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.180033003255768,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6767174890034462,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200830501253342,0.0,0.0,-4.335401423255767,0
0.0,0.0,0.0,0.0,0.0,0.0,-1.8354997922218061,0.0,0.3340499936559833,0.0,0.0,0.0,0.0,0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.848801798746658,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.19085456222180602,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.880375313255768,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.368108173255768,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730657946207318,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9458375446207317,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.876624113255768,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2348398748033724,0.0,0.0,0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6137262232557678,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.722498523255768,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5726200953792682,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.07988358777819399,-2.927529989003446,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2486463346207315,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,2.1280677377781942,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1716565332557678,0
0.0,0.0,0.0,0.0,0.0,0.0,1.599425567778194,0.6565636109965538,0.0,0.0,0.0,0.0,0.0,0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977279144338769,0.0,1.5486552886461187,0.0,1
0.0,3.0,0.0,0.0,0.0,0.0,1.4330699943360978,-1.922676730474583,0.0,0.0,0.0,0.0,0.0,1
0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.888741330474583,-2.4580034374440967,0.0,0.0,-1.7286261213538812,0.0,1
0.0,0.0,0.0,0.0,-1.0,1.0,-0.9344173856639022,0.0,0.0,0.0,-0.31481022912043694,0.0,-2.9932354332557676,1
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3036391144338767,0.0,0.0,-3.879207853255768,1
0.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.3036391144338767,0.0,0.0,-3.879207853255768,1
0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.5511385695254171,0.0,0.0,0.0,-0.6950531913538811,-3.3984515132557678,1
0.0,2.0,0.0,0.0,-1.0,0.0,-1.6795583056639023,0.0,0.0,0.0,0.0,0.0,-3.3837926232557676,1
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8116025813538812,0.0,1
0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7775727813538813,-4.265577713255768,1
0.0,2.0,0.0,2.0,0.0,0.0,-0.9433261156639022,0.0,0.0,0.0,0.0,0.0,-2.8158735532557677,1
0.0,2.0,0.0,2.0,0.0,0.0,-0.9433261156639022,0.0,0.0,0.0,0.0,0.0,-2.8158735532557677,1
0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724797178646119,-3.9863330832557677,1
0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,-3.9678080674440963,0.0,0.0,-1.686243971353881,0.0,1
0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.3121643391204369,-1.8373210713538812,0.0,1
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9146958213538812,-3.286499983255768,1
0.0,2.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6894912832557676,1
0.0,2.0,0.0,2.0,0.0,0.0,2.0073801643360976,0.0,0.0,0.0,0.0,-1.9146958213538812,-3.286499983255768,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.559774751353881,-2.207568153255768,1
0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.888741330474583,0.0,0.0,0.0,-1.7286261213538812,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.932029487444097,0.0,0.0,0.0,-3.958815703255768,1
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.7954479874440965,0.06510651443387673,0.0,0.0,-1.7792347332557679,1
0.0,3.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23073164864611884,0.0,1
0.0,2.0,0.0,0.0,0.0,0.0,-1.3473859156639023,0.0,0.0,-0.28852878556612327,0.0,0.0,-2.4116591732557677,1
0.0,0.0,0.0,2.0,0.0,1.0,0.0,-2.214197530474583,0.0,0.0,0.0,0.0,-3.0917476832557678,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.640480147444096,0.7414018144338768,0.0,-1.837553771353881,-2.284948013255768,1
0.0,0.0,0.0,0.0,-1.0,0.0,2.085333454336098,0.0,0.0,0.0,0.0,0.0,-1.8113503532557678,1
0.0,1.0,0.0,0.0,0.0,0.0,0.5712246243360978,-1.989248830474583,0.0,0.0,0.0,-1.6196773513538811,-4.114063363255768,1
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5449658825559034,0.0,0.0,-1.8116025813538812,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.559774751353881,-2.207568153255768,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034553657318712,0.0,0.0,0.0,0.0,1.3365065376889327,-1
0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0141658758532324,0.0,0.0,-1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469638505853232,0.0,0.0,-1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4532474158532325,0.0,0.0,-1
